customer;state;gender;education;customer_lifetime_value;income;monthly_premium_auto;policy_type;vehicle_class;total_claim_amount;number_of_open_complaints
QZ44356;Arizona;F;Bachelor;697953;0;94;Personal Auto;Four-Door Car;1131;0
AI49188;Nevada;F;Bachelor;1288743;48767;108;Personal Auto;Two-Door Car;566;0
WW63253;California;M;Bachelor;764586;0;106;Corporate Auto;SUV;529;0
GA49547;Washington;M;High School or Below;536307;36357;68;Personal Auto;Four-Door Car;17;0
OC83172;Oregon;F;Bachelor;825629;62902;69;Personal Auto;Two-Door Car;159;0
XZ87318;Oregon;F;College;538089;55350;67;Corporate Auto;Four-Door Car;321;0
CF85061;Arizona;M;Master;721610;0;101;Corporate Auto;Four-Door Car;363;0
DY87989;Oregon;M;Bachelor;2412750;14072;71;Corporate Auto;Four-Door Car;511;0
BQ94931;Oregon;F;College;738817;28812;93;Special Auto;Four-Door Car;425;0
SX51350;California;M;College;473899;0;67;Personal Auto;Four-Door Car;482;0
VQ65197;California;U;College;819719;0;110;Personal Auto;SUV;528;0
DP39365;California;U;Master;879879;77026;110;Corporate Auto;Four-Door Car;472;2
SJ95423;Arizona;U;High School or Below;881901;99845;110;Corporate Auto;SUV;528;1
IL66569;California;U;College;538443;83689;70;Corporate Auto;Four-Door Car;307;2
BW63560;Oregon;U;Bachelor;746313;24599;64;Corporate Auto;Four-Door Car;42;1
FV94802;Nevada;U;High School or Below;256686;25049;67;Personal Auto;Two-Door Car;454;0
OE15005;California;U;College;394524;28855;101;Personal Auto;SUV;647;0
WC83389;Oregon;U;College;571033;51148;72;Personal Auto;Four-Door Car;308;0
FL50705;California;U;High School or Below;816261;66140;101;Corporate Auto;Four-Door Car;484;0
ZK25313;Oregon;U;High School or Below;287205;57749;74;Personal Auto;Two-Door Car;355;0
QK46697;Washington;M;Bachelor;617710;61040;79;Personal Auto;Two-Door Car;20;1
YH23384;Arizona;U;Bachelor;2412750;14072;71;Personal Auto;Four-Door Car;511;0
TZ98966;Nevada;U;Bachelor;245019;0;73;Corporate Auto;Four-Door Car;554;3
HM55802;California;U;Bachelor;239210;17870;61;Corporate Auto;Four-Door Car;439;0
FS42516;Oregon;U;College;580206;97541;72;Personal Auto;Four-Door Car;389;0
US89481;California;U;Bachelor;394637;0;111;Personal Auto;Four-Door Car;799;0
HS14476;Washington;M;College;916206;29723;80;Personal Auto;Four-Door Car;20;0
GE62437;Arizona;U;College;1290256;86584;111;Personal Auto;Four-Door Car;532;2
EJ77678;Oregon;U;Master;323536;75690;80;Personal Auto;Four-Door Car;384;1
SV85652;Arizona;U;College;245458;23158;63;Personal Auto;Four-Door Car;322;1
UL64533;Nevada;U;High School or Below;1897545;65999;237;Corporate Auto;Luxury;615;0
PF41800;California;U;Bachelor;471532;0;65;Personal Auto;Four-Door Car;308;0
HD95276;Washington;F;College;473787;0;130;Personal Auto;SUV;23;0
SK67821;Oregon;U;Bachelor;493291;37260;62;Corporate Auto;Four-Door Car;15;0
YV55495;Arizona;U;High School or Below;574422;68987;71;Personal Auto;Four-Door Car;204;0
KY38074;California;U;Bachelor;1389173;42305;117;Personal Auto;Four-Door Car;561;0
DM79012;Oregon;U;Master;738097;65706;91;Personal Auto;Four-Door Car;436;0
CM61827;Oregon;U;Bachelor;309003;0;90;Personal Auto;Two-Door Car;648;0
WC35801;Arizona;U;High School or Below;252163;53243;66;Personal Auto;Four-Door Car;157;2
